URL da empresa,Qualidade_Padronizada,Problemas_URL,Dominio,Caminho_URL,Extensao_URL,Tipo_URL,Consistencia_Empresa_URL,URL_Padronizada,Dominio_Padronizado
http://www.nordcurrent.com,OK,['OK'],nordcurrent.com,,com,Website Corporativo,Consistente,https://nordcurrent.com,nordcurrent.com
https://eclear.com/,OK,['Domínio possivelmente inválido'],eclear.com,/,com/,Website Corporativo,Consistente,https://eclear.com,eclear.com
https://www.empathy.co,OK,['OK'],empathy.co,,co,Website Corporativo,Consistente,https://empathy.co,empathy.co
https://www.trafi.com/about-trafi-company,OK,['Domínio possivelmente inválido'],trafi.com,/about-trafi-company,com/about-trafi-company,Website Corporativo,Consistente,https://trafi.com/about-trafi-company,trafi.com
https://www.trafi.com/about-trafi-company,OK,['Domínio possivelmente inválido'],trafi.com,/about-trafi-company,com/about-trafi-company,Website Corporativo,Consistente,https://trafi.com/about-trafi-company,trafi.com
http://www.govdata.co.uk,OK,['OK'],govdata.co.uk,,uk,Website Corporativo,Consistente,https://govdata.co.uk,govdata.co.uk
https://www.materna-virtual-solution.com,OK,['OK'],materna-virtual-solution.com,,com,Website Corporativo,Consistente,https://materna-virtual-solution.com,materna-virtual-solution.com
https://www.parserdigital.com,OK,['OK'],parserdigital.com,,com,Website Corporativo,Consistente,https://parserdigital.com,parserdigital.com
https://art2trading.com/,Contém números,['Domínio possivelmente inválido'],art2trading.com,/,com/,Website Corporativo,Consistente,https://art2trading.com,art2trading.com
https://art2trading.com/,Contém números,['Domínio possivelmente inválido'],art2trading.com,/,com/,Website Corporativo,Consistente,https://art2trading.com,art2trading.com
https://hove.com/,OK,['Domínio possivelmente inválido'],hove.com,/,com/,Website Corporativo,Consistente,https://hove.com,hove.com
https://lindera.de,OK,['OK'],lindera.de,,de,Website Corporativo,Consistente,https://lindera.de,lindera.de
http://www.thinkproject.com,OK,['OK'],thinkproject.com,,com,Website Corporativo,Consistente,https://thinkproject.com,thinkproject.com
